region_id,region_name,country,country_iso3,lat,lon,region_type,evidence_type,transfer_confidence,coordinate_precision,dominant_theme,dominant_pathway_ids,supporting_paper_ids,supporting_papers,study_count,evidence_strength,key_message,south_germany_transfer_note,caveat,visual_story_role,map_label,marker_size_hint,marker_category
R001,Dutch peat grasslands and water-management cases,Netherlands,NLD,52.2,5.3,country_cluster,empirical_and_synthesis_cluster,medium_high,country_anchor,"raised groundwater, peat pasture, water infiltration, trafficability, land-use alternatives",T02|T03|T04,P004|P006|P007|P008|P009,Liu et al. (2023); Wils et al. (2025); Heuts et al. (2024); Jongbloed et al. (2026); van Dijk et al. (2026),5,high,"Dutch peatland studies are the strongest cluster in this dataset for raised groundwater, peat pasture, trafficability and water-management trade-offs in dairy/grassland contexts.","Useful analogue for South German grassland and dairy regions, but transfer should be treated as conditional on local peat type, drainage infrastructure, water availability, machinery and governance.","Do not generalise Dutch results directly. Dutch water-board governance, peat soils and lowland hydrology differ from many South German peatland settings.","main analogue for grassland-oriented transition, with hydrological transfer caution",Netherlands: peat pasture & water management,5,hydrology_grassland
R002,Finnish agricultural peatlands,Finland,FIN,63.0,26.0,national_model_cluster,model_and_policy_cluster,medium,country_anchor,"emissions tax, adjustable drainage, national cost-effectiveness, compensation",T02|T08,P010|P011,Purola & Lehtonen (2022); Niemi et al. (2024),2,high,"Finnish studies contribute economic modelling of emissions taxes, adjustable drainage, national abatement potential and compensation needs.","Relevant for thinking about compensation and policy incentives, but not as a direct estimate of South German costs.","Finnish climate, farm types, land-use systems and peatland policy context differ substantially from Upper Swabia.","economic-policy evidence node, not a direct transfer model",Finland: farm-level economics & compensation,2,economics_policy
R003,Denmark / Store Vildmose and Vejrumbro,Denmark,DNK,56.8,9.8,site_and_national_cluster,site_lca_case,medium,approximate_site_region_anchor,"reed canary grass LCA, water-table dependent GHG mitigation",T05,P014,Thers et al. (2023),1,medium_high,"Danish reed canary grass evidence supports wet biomass as a potential lower-emission alternative to deeply drained annual cropping, but only under suitable water-table conditions.","Relevant for biomass pathway hypotheses, especially where wet mowing or bioenergy outlets exist. It should not be read as proof that reed canary grass is automatically suitable in South Germany.","LCA results depend on assumptions about water table, yield, harvest, product use and site conditions.",biomass pathway example with strong hydrological dependency,Denmark: Reed canary grass LCA,1,biomass_lca
R004,UK lowland agricultural peatlands / Fens,United Kingdom,GBR,52.6,0.1,regional_synthesis_cluster,national_synthesis_context,medium,regional_context_anchor,"food production, lowland agricultural peat, net zero transition, policy/adoption",T01|T02|T08,P005,Lloyd et al. (2023),1,medium,"The UK lowland peatland literature illustrates the tension between food production, net-zero targets, water management and the social feasibility of major land-use change.","Useful for framing productive peatland regions as transition landscapes, but not for quantitative transfer to Upper Swabia.",The Fens are an exceptionally productive and highly engineered agricultural peatland context; analogy should remain conceptual.,productive-peatland framing node,UK Fens: food production & net zero,1,productive_peatland_context
R005,"Teufelsmoor, Lower Saxony",Germany,DEU,53.2,8.9,regional_qualitative_case,regional_qualitative_adoption_case,medium_high,regional_anchor,"farmer typologies, planning security, farm identity, rewetting acceptance",T04|T08,P016,Hünnebeck-Wells et al. (2025),1,high,"The Teufelsmoor case shows that farmer responses to rewetting are heterogeneous and conditional, shaped by planning security, income, ownership, trust and cooperation.","Highly relevant for anticipating adoption barriers in South Germany, but the specific farmer typology should not be copied unchanged.","Qualitative adoption evidence does not quantify GHG mitigation, farm income effects or hydrological feasibility.",farmer adoption and implementation-risk node,Teufelsmoor: farmer transition,1,adoption
R006,German paludiculture pioneer regions,Germany,DEU,52.5,11.5,multi_region_qualitative_case,multi_region_qualitative_pioneer_case,medium,multi_region_anchor,"pioneer farmers, paludiculture adoption, water buffalo, reed, peat moss, wet meadow hay",T04|T06|T07,P017,Merkelbach et al. (2026),1,high,"German paludiculture pioneer cases show possible adoption pathways, but also reveal strong dependence on networks, advice, programmes, entrepreneurial motivation, regulation and markets.","Relevant because it includes German and Bavarian examples, but pioneer farms are not representative of mainstream farms.",Pioneer evidence can overstate practical readiness if transferred to average farms without considering risk tolerance and support networks.,pioneer-pathway node with representativeness caveat,Germany: paludiculture pioneers,1,adoption_pathways
R007,Northern Germany reed value chains,Germany,DEU,53.7,9.9,regional_market_case,regional_market_case,low_medium,regional_market_anchor,"common reed, thatching, processing, regional value-chain development",T06,P015,Becker et al. (2020),1,medium,"Northern German reed value-chain evidence shows that wet biomass only becomes a viable pathway if harvest logistics, quality standards, processing and market demand align.",Useful as a value-chain analogy; direct transfer to South Germany would require a separate market and infrastructure assessment.,"This is mainly a market/value-chain case, not evidence for regional GHG mitigation or hydrological suitability.",value-chain caution node,Northern Germany: reed value chains,1,value_chain
R008,Hungarian wetland and grassland grazing cases,Hungary,HUN,47.2,19.5,site_management_case,habitat_management_case,low_medium,country_anchor,"water buffalo grazing, wetland/dry grassland habitat management, invasive species control",T07,P013,Fűrész et al. (2023),1,medium,Hungarian water-buffalo grazing studies support robust grazing as a habitat-management option for wet or mosaic landscapes.,"Relevant as a niche pathway for difficult-to-machine wet sites, not as a broad substitute for dairy, forage or biogas systems.",Habitat-management evidence does not establish farm-level profitability or net GHG mitigation.,niche wet-grazing option with limited production transfer,Hungary: water buffalo grazing,1,wet_grazing
R009,International synthesis and transition frameworks,International,,45.0,-25.0,conceptual_global_node,conceptual_and_review_cluster,high_for_framing_low_for_quantification,conceptual_anchor,"responsible agriculture, transition trajectories, paludiculture innovation, reed utilisation",T01|T02|T04|T05|T06|T08,P001|P002|P003|P020|P021,Freeman et al. (2022); Temmink et al. (2026); Ziegler et al. (2021); Köbbing et al. (2013); Girkin et al. (2023),5,high_conceptual,"International syntheses support the central framing of the Atlas: peatland management is a transition spectrum, not a binary choice between business-as-usual drainage and full restoration.","Strong framing source for South Germany, but conceptual reviews should not be treated as local feasibility evidence.","Use this node for conceptual structure, not for site-specific hydrological, economic or adoption claims.",global framing node,International: transition frameworks,5,conceptual_synthesis
R010,European reed and Phragmites management literature,Europe,,50.0,10.0,european_review_node,european_review_cluster,medium_for_context_low_for_local_feasibility,review_anchor,"reed ecology, ecosystem services, management objectives, product pathways",T06,P019|P020,Čížková et al. (2023); Köbbing et al. (2013),2,medium,"European reed literature shows that reed can be raw material, habitat, treatment system or management problem depending on objectives and context.","Useful for avoiding simplistic reed-as-solution narratives; local feasibility requires hydrology, harvest and market assessment.",Broad review evidence does not identify where reed-based systems are economically or hydrologically feasible in South Germany.,reed-context review node,Europe: reed management,2,reed_context
R011,EU Common Agricultural Policy context,European Union,,50.85,4.35,policy_node,policy_analysis_node,medium_high_for_policy_context,policy_anchor,"CAP, GAEC 2, Eco-Schemes, Pillar II, paludiculture eligibility, implementation gaps",T02|T04|T05|T06|T08,P018,Nordbeck et al. (2025),1,high_policy,"EU Common Agricultural Policy analysis shows that peatland measures are entering policy frameworks, but implementation remains uneven.","Relevant as a governance layer: even technically plausible pathways require eligibility, incentives, advice and administrative support.","Policy inclusion does not guarantee farm-level uptake, sufficient compensation or local hydrological feasibility.",governance and enabling-conditions node,EU: CAP governance,1,policy
