kind;status;detail
b176_marker;restored;Inserted compact local cartographic-depth section immediately before area balance.
long_cluster_und;no_extra_occurrences;No unprotected occurrences beyond keep limit 2.
long_cluster_commas;no_extra_occurrences;No unprotected occurrences beyond keep limit 2.
short_eignung_priorisierung_cluster;no_extra_occurrences;No unprotected occurrences beyond keep limit 2.
term_keine_eignungskarte;no_extra_occurrences;No unprotected occurrences beyond keep limit 2.
term_keine_priorisierung;no_extra_occurrences;No unprotected occurrences beyond keep limit 2.
term_keine_hydrologie;no_extra_occurrences;No unprotected occurrences beyond keep limit 2.
term_keine_betrieb;no_extra_occurrences;No unprotected occurrences beyond keep limit 2.
term_standortpruefung;no_extra_occurrences;No unprotected occurrences beyond keep limit 2.
